id,submission_time,view_number,vote_number,title,message,image
1,1424030651,0,4,Adoptation dilemma ,Should I tell my parents I’m adopted?,
2,1448459542,0,-3,Cannibalism,"If I eat myself, will I get twice as big or disappear completely?",
3,1489315784,0,2,Space Battles,Do you think NASA invented thunderstorms to cover up the sound of space battles?,
4,1492130803,0,-1,Motherhood,How am I sure I’m the real mom of my kid?,
5,1511235485,0,2,Travel,How far of a drive is it from Miami to Florida?,
6,1523741206,0,0,Mathematics,"What does a quarter until 4 mean? Like, why is it called that?! Because a quarter is worth 25 cents, so why is it 15 mins?!",
7,1538130928,0,-1,Biology Dilemma,Are chickens considered animals or birds?,
8,1541427996,0,1,Genetics,Is it possible fro tattoos to get passed on genetically from paretnt to child?,
9,1549382653,0,4,Shy dog,If I shave my golden retriever like a lion, will the other dogs respect him more?,
10,1552981064,0,0,It's sucks to lose a sock,Where do lost socks go when they go missing?,
11,1576391104,0,1,Leap Year Problem, What happens to the people born on February 29????? Do the stay one until 4 years pass??,
12,1607521145,0,-1,Virtual Sunshine,Does looking at a picture of the sun hurt your eyes?,
13,1613797821,0,0,How is it possible?,"If Batman’s parents are dead, then how was he born?",
14,1639991372,0,4,Ingredients,If corn oil is made from corn and vegetable oil is made from vegetables. What is baby oil made from?,
15,1641319477,0,3,Let in or Outlet?,Why is an electrical socket called an outlet when you plug things into it?,
